SRR,sizeFactors
SRR829033,0.4986312
SRR829034,1.0385602
SRR829867,0.3574771
SRR935337,2.2812695
SRR935339,2.1071588
SRR935340,1.2105365
SRR935341,0.8711805
SRR935342,0.2178014
SRR935348,1.0115233
SRR935349,1.4054179
SRR935350,1.6814534
SRR935351,0.5757243
SRR935352,0.1861291
SRR935354,0.1919504
SRR935356,1.7273154
SRR935357,3.4101652
SRR935358,5.1339366
SRR935359,0.5751433
SRR935360,0.5989056
SRR935361,3.9198616
SRR935363,0.4608063
SRR935364,0.9844739
SRR935366,2.0623208
SRR935367,4.1976178
