"contig"	"SRR829033"	"SRR829034"	"SRR829867"	"SRR935337"	"SRR935339"	"SRR935340"	"SRR935341"	"SRR935342"	"SRR935348"	"SRR935349"	"SRR935350"	"SRR935351"	"SRR935352"	"SRR935354"	"SRR935356"	"SRR935357"	"SRR935358"	"SRR935359"	"SRR935360"	"SRR935361"	"SRR935363"	"SRR935364"	"SRR935366"	"SRR935367"
"NODE_84_length_32573_cov_4.820715"	0.0129295115693659	0.00644417127538839	0.00687043198240371	0.00333746968955914	0.00160264623223774	0.00309402753144893	0.00211439120331799	0.000563821485211334	0.0084981500592822	0.0147667001454139	0.00135110511173083	0.0139710466744472	0.00098964465227303	0.0031987712598651	0.00451444454312357	0.00963275696050109	0.00576459463372041	0.00982164048501728	0.0120975058302973	0.010400867861381	0.00599606458694919	0.00380450229049609	0.00899130969846271	0.01224319597273
"NODE_85_length_32529_cov_5.865646"	0.00949446705778133	0.00278243790785459	0.0085996564973883	0.00560590878243288	0.00501869116190083	0.00812645936871552	0.0065634787562974	0	0.0173232058725807	0.00774331753487442	0.000731314956457287	0.0242421174987196	0.0036336053761606	0.00288278823888921	0.0076529012276097	0.00448934741055652	0.00353289554945685	0.0110108406406598	0.00615959460544373	0.00980321581588161	0.0128089068775601	0.00574569924035814	0.0051874307124215	0.0136658935569636
"NODE_86_length_32364_cov_4.582315"	0.00446160263095458	0.00612877063204848	0.00224730993736626	0.00411751130041382	0.00231684849725942	0.00188882459711853	0.00205711065309668	0	0.00610930667851845	0.0060239712403812	0.0105111204525389	0.00386416547076709	0.00199207114438818	0.00321942826126517	0.0026832271002332	0.00313500682644219	0.00284072572805047	0.000967017385012539	0.00546871472664349	0.0100108462548267	0.00174338260157311	0.00690488209015693	0.0112368051056863	0.00996675031707573
"NODE_87_length_32215_cov_15.592506"	0.00709687734341161	5.97778375374242e-05	0.00798879925833497	0.00481691003365687	0.00200347309082005	0.00153856276271698	0.00171031046818381	0.000285043570352147	0.0112931164510995	0.0136497550817041	0.00675675429458892	0.00280369404667732	0.00200128482126273	0.00226402307537824	0.00212056816201351	0.00446028416879165	0.00282967928750087	0.00841958008031653	0.0144088147115456	0.0216980991943626	0.00148199281197348	0.0366390134195397	0.015262426897888	0.0223033607128093
"NODE_88_length_32149_cov_48.332741"	0.000998097798433087	0.0207854935949808	0.00156623474187807	0.0499041916626007	0.0338927771482426	0.0149033062990751	0.0191376749203204	0.00628383245561843	0.0225710994721735	0.0194321818805828	0.0397358021878992	0.0117780782806911	0.00133692889394131	0.00129638341780566	0.00457398370410165	0.00603830582710395	0.00621626314500737	0.00367760781241012	0.00415493385839846	0.0420569393401104	0.00418509935716791	0.00549765595565759	0.00542973719280245	0.0403262813276907
"NODE_89_length_31829_cov_62.477403"	0.0332683691608357	0.026802732258845	0.0302334191504663	0.081310524634292	0.0480402526622304	0.040954922374074	0.0432762981342028	0.00086550114225025	0.051000482171313	0.0691211588192278	0.0189091799532049	0.0188815879597849	0.0070894425464019	0.00589237604843551	0.0028010837345984	0.00707559245830717	0.00613188816972362	0.0187914121348102	0.0338884043342625	0.0739147967121386	0.00231812833191383	0.375046025180942	0.37863179233975	0.0855201260440652
"NODE_90_length_31247_cov_3.493845"	0.0174574642068368	0.000123259387222333	0.0150401708971087	0.00288989658372237	0.00130614942878894	0.00370119366986155	0.00418782356273517	0	0.00854239324779406	0.0104292161878143	0.0074989951212341	0.00322407456678622	0	0	0.000370552743717038	0.00112615327249145	0.000548559629637056	0	0	0.0128669954943542	0.000277800623406615	0.00117028045496298	0.0037863894068749	0.0115581407994535
"NODE_91_length_30392_cov_3.837163"	0.00844639276699799	0.00107717924508285	0.00589077601902698	0.002250032164514	0.00480943629979942	0.00130468016322526	0.000679837437473776	0.039580511288338	0.00657076919442639	0.00660213419026458	0.00457901170304044	0.00914420836593738	0.0116673021796323	0.00891363839970134	0.00320020917664454	0.00274020872016032	0.00323013560110901	0.00286045218849129	0.00340623028019153	0.00555684102174062	0.00685477974171084	0.00902402442490494	0.0106576378684833	0.00602003541652228
"NODE_92_length_30284_cov_3.410831"	0.00556271272419703	0.0013353785418581	0.00535755419356941	0.000115797759913688	0.000313414798829744	0.00147299958594752	0.000758068778515351	0.00151609407919932	0.00528841953137938	0.00897521053677889	0.0130790490437088	0.00183536376078172	0.0067414939672357	0.00825731683378038	0.00485566642792115	0.00379574836871282	0.00451516237519023	0.000688956779125297	0.002315675225273	0.00372338800199359	0.00530273634501222	0.00342123347529983	0.00192137345365437	0.00335114691929554
"NODE_93_length_29791_cov_4.171577"	0	6.46417722220845e-05	0.000187800494245607	0	0	0	0	0	0.00756613156764362	0.00511120395664875	0.0016769085582578	0.00408129859815669	0.00865649229861082	0.00664522153906928	0.00478055578765379	0.00628000778001601	0.00489064359544117	0.0148242456982359	0.00582894361376751	0.0120400835964791	0.00437066702003279	0.00197760107995072	0.00390633907357719	0.0139462840324434
"NODE_94_length_29316_cov_3.978435"	0.00725139789047254	0	0.0133590365904271	0.00334939767070308	0.00148931257100887	0.00541026600091991	0.0042287391321537	0	0.00822828331420238	0.0133976578998092	0.0045036376181343	0.00533240599399243	0	0	0.000118488145547752	8.00220841987092e-05	1.32884639068249e-05	0	0	0.0133664403867953	0	0.00367279704852125	0.004697398497525	0.0144160410153696
"NODE_95_length_28924_cov_4.882642"	0.0002773462014402	0.000932111827816128	0	0.00112149353793879	0.000984454477364123	0.00194210480296817	0.00206365380688194	0.00095242828988671	0.00314451447303425	0.00260760636151322	0.00279637706898206	0.00468405149946636	0.00817297395112211	0.009005806272264	0.00984770691951276	0.0100369422718403	0.00738077047175629	0.0100989192154068	0.00981368615350615	0.00926104958203717	0.0151556500490637	0.000702372373888432	0.000402343200597905	0.00818700655888563
"NODE_96_length_28551_cov_6.390862"	0.000280969546791928	0.000674492324706007	0.000391913735005492	0.00125897161054141	0.000764608723542013	0.00104160553537727	0.00217102231792614	0.000964871137847473	0.00339335170951455	0.00204355837413536	0.00287457033218336	0.00632699406071311	0.0139250315174496	0.00948839964427596	0.0113146530126316	0.0142763787359174	0.0102743213807936	0.0103526508319475	0.0078365529203134	0.0118481750816827	0.0190020403829693	0.0004980838842648	0.000883132356970677	0.0112978146916689
"NODE_98_length_27642_cov_3.629318"	0.000145104578729042	0.00181134935760695	0.00101200429130868	0.00142723818152789	0.00309033658598654	0.00573791180388423	0.00664419503322737	0	0.0100856471273582	0.0114289945850044	0.019019451097281	0.0123160663593634	0.000777456895508994	0.00301551483243139	0.00615752569528316	0.00882629519276514	0.0068352085532108	0.0017612156584571	0.000241619580011671	0.00788165954453921	0.00565255225499446	0.00169037922897774	0.00305227432248678	0.00736013050168689
"NODE_99_length_27136_cov_4.809424"	0.0137463594916797	0.00191609161185287	0.0204113239933306	0.0023907782349161	0.00468696493543573	0.00359218156035614	0.00211502753616588	0.00304555231316516	0.00765063684444096	0.0149983926042108	0.007320079754765	0.00985735282955889	0.000395976995608409	0.00115190421853905	0.00315750647529682	0.00468995292434545	0.00389047791637905	0.00166590981406862	0.00258431266664828	0.0079346153696917	0.00319886353168724	0.00329406845468512	0.00482460442801279	0.0097623879780985
"NODE_100_length_26522_cov_3.244682"	0	7.2609269145167e-05	0	0.000793338216098213	0.000429445159539703	0.000498351551174399	8.65596670257104e-05	0	0.00678405313410188	0.00300473566154611	0.0091489039676386	0.00170275627240988	0.00121543229237951	0.000785714322054034	0.00445299555636257	0.00543980606110836	0.00374553106902128	0.00367118039597853	0.00188867216763893	0.0124852627054583	0.00474573271827177	0.00674065617874485	0.00160886713011878	0.0120723023777677
"NODE_101_length_25729_cov_5.228987"	0.000311786759316582	0.00112270766621407	0.000434899492718015	0.00132890857677931	0.000848472294525555	0.00192641763772116	0.00223068860901696	0.00142759976973756	0.00414977903243531	0.00265486746635623	0.00305116856159887	0.00742600418601881	0.0183757704195465	0.018223447981427	0.0150757963009845	0.0165488680787065	0.0139297850387144	0.014867013751625	0.0107727548631245	0.0129692272506652	0.023447872343708	0.00071063300898263	0.000753842922648486	0.0135925285975684
"NODE_102_length_25459_cov_4.467958"	0.00850752037873919	0.0167166507331496	0.00703218762599741	0.0221767515282378	0.0219959846143933	0.0382231127789077	0.0529320370775918	0.0126239739055464	0.00365014936295528	0.00206816363773578	0.00233600536338811	0.00614025743822939	0.011817686832917	0.0118685482979692	0.00927784658830657	0.0120019264897721	0.00910447942558726	0.0122929222076852	0.00931297848655615	0.00973989302552712	0.0138087772977435	0.000239389825315397	0.0006856538788303	0.0101995794122541
